,,,,,,
,Class_id,Class_name,Description,Characteristic,Reason,Solve
,1,Bok Choy Healthy,"Bok Choy, juga dikenal sebagai sawi putih atau Chinese cabbage, adalah sejenis sayuran yang sering digunakan dalam masakan Asia. Bok Choy memiliki daun yang lebar dan pangkal yang tebal. Sayuran ini kaya akan nutrisi dan sering digunakan dalam resep tumis, sup, atau dimasak sebagai sayuran pendamping.","1. Daunnya lebar dan berbentuk seperti sendok.
2. Batangnya berwarna putih atau hijau muda.
3. Daun dan batangnya renyah dan sedikit renyah.
4. Rasanya lembut dan memiliki rasa yang ringan.
",-,-
,2,Chili Healthy,"Cabai adalah tumbuhan yang termasuk ke dalam famili terung-terungan. Tumbuhan ini dikenal dengan buahnya yang memiliki rasa pedas dan sering digunakan sebagai bumbu dalam masakan. Cabai memiliki berbagai jenis dan varietas dengan ukuran, bentuk, warna, dan tingkat kepedasan yang berbeda.","1. Memiliki berbagai warna.
2. Bunga dengan warna putih.
3. Daun berbentuk lonjong dengan ujung meruncing.
4. Rasanya pedas.
",-,-
,3,Cucumber Healthy,Timun adalah tumbuhan yang termasuk dalam keluarga labu-labuan dan memiliki nama ilmiah Cucumis sativus. Timun biasanya dikenal sebagai tanaman yang menghasilkan buah yang sering digunakan dalam masakan dan juga sering dikonsumsi sebagai sayuran.,"1. Memiliki bentuk silinder atau silindris memanjang.
2. Memiliki tekstur kulit yang halus dan sedikit bergerigi.
3. Daun memiliki bentuk oval dengan ujung runcing.
4. Rasanya segar dan sedikit manis.
",-,-
,4,Disease Blight,Penyakit yang sering menyerang tanaman hidroponik.,"1. Muncul bercak-bercak berwarna coklat atau hitam pada daun, buah, atau batang tanaman.
2. Bercak-bercak tersebut dapat membesar dan menyebabkan kematian jaringan tanaman.
3. Tanaman terlihat layu, lesu, atau mengalami penurunan pertumbuhan.","1. Infeksi jamur atau bakteri.
2. Kelembaban tinggi dan kondisi lingkungan yang lembab.
3. Penyebaran penyakit melalui kontak langsung dengan tanaman yang terinfeksi atau melalui angin, air, atau serangga.
","1. Menjaga kebersihan lingkungan tumbuh tanaman.
2. Memangkas dan membuang bagian tanaman yang terinfeksi.
3. Menggunakan fungisida atau pestisida yang sesuai untuk mengendalikan infeksi.
4. Mengatur pola penyiraman dan drainage yang baik untuk mengurangi kelembaban dan mencegah pertumbuhan jamur atau bakteri."
,5,Disease Leaf Spot,Penyakit yang sering menyerang tanaman hidroponik.,"1. Muncul bercak-bercak berwarna coklat atau hitam pada daun, buah, atau batang tanaman.
2. Bercak-bercak tersebut dapat membesar dan menyebabkan kematian jaringan tanaman.
3. Tanaman terlihat layu, lesu, atau mengalami penurunan pertumbuhan.","1. Infeksi jamur atau bakteri.
2. Kelembaban tinggi dan kondisi lingkungan yang lembab.
3. Penyebaran penyakit melalui kontak langsung dengan tanaman yang terinfeksi atau melalui angin, air, atau serangga.
","1. Menjaga kebersihan lingkungan tumbuh tanaman.
2. Memangkas dan membuang bagian tanaman yang terinfeksi.
3. Menggunakan fungisida atau pestisida yang sesuai untuk mengendalikan infeksi.
4. Mengatur pola penyiraman dan drainage yang baik untuk mengurangi kelembaban dan mencegah pertumbuhan jamur atau bakteri."
,6,Disease Powdery ,Penyakit yang sering menyerang tanaman hidroponik.,"1. Permukaan daun atau bagian tanaman terdapat lapisan serbuk putih yang terlihat seperti bubuk.
2. Serbuk putih tersebut dapat menyebar ke berbagai bagian tanaman, termasuk daun, batang, bunga, dan buah.
3. Daun yang terinfeksi dapat terlihat kusam, mengering, keriput, atau bahkan mengalami nekrosis (kematian jaringan).
","1. Kondisi lingkungan yang lembab, terutama saat suhu udara tinggi dan kelembaban rendah di malam hari.
2. Kehadiran spora jamur powdery mildew yang tersebar melalui udara atau penularan langsung antar tanaman.
3. Tanaman yang tumbuh terlalu rapat atau kurang sirkulasi udara yang baik.
","1. Menghindari kondisi lembab dengan memastikan sirkulasi udara yang baik di sekitar tanaman.
2. Membuang dan menghancurkan bagian tanaman yang terinfeksi powdery mildew untuk mencegah penyebaran lebih lanjut.
3. Penggunaan fungisida yang tepat dan aman untuk mengendalikan infeksi. Konsultasikan dengan ahli pertanian atau petani lainnya untuk memilih produk yang sesuai.
4. Memangkas tanaman untuk memberikan ruang dan sirkulasi udara yang lebih baik."
,7,Disease Tip Burn,Penyakit yang sering menyerang tanaman hidroponik.,"1. Ujung daun tanaman terlihat coklat atau kekuningan.
2. Daun yang terkena biasanya terlihat layu atau keriput.
3.Bisa terjadi pada selada, kangkung, atau tanaman sayuran hijau lainnya.","1. Kekurangan kalsium dalam tanah.
2. Fluktuasi suhu dan kelembaban yang ekstrem.
3. Kekurangan air atau kelebihan air yang berlebihan.
4. Nutrisi yang tidak seimbang dalam tanah","1. Menyediakan cukup kalsium dalam tanah dengan menggunakan pupuk kalsium atau bahan organik kaya kalsium.
2. Menjaga kestabilan suhu dan kelembaban di sekitar tanaman.
3. Memberikan penyiraman yang cukup secara teratur.
4. Memastikan tanah memiliki nutrisi yang seimbang dengan menggunakan pupuk yang sesuai."
,8,Green Mustard Healthy,"Sawi, juga dikenal sebagai mustard greens atau mustard spinach, adalah sejenis sayuran hijau yang populer dalam masakan Asia. Sayuran ini memiliki daun berbentuk seperti daun selada dengan batang yang panjang. Sawi sering digunakan dalam tumisan, sup, atau dijadikan bahan untuk makanan pencuci mulut. Sawi memiliki rasa yang sedikit pahit dan tekstur yang renyah.","1. Daunnya berbentuk bulat atau oval dengan tepi yang bergerigi.
2. Batangnya panjang dan kokoh, berwarna hijau terang atau putih.
3. Daunnya memiliki warna hijau tua atau hijau keunguan, tergantung pada varietasnya.
4. Daun dan batangnya memiliki tekstur yang renyah ketika dimasak atau dikonsumsi mentah.",-,-
,9,Lettuce Healthy,"Selada adalah tanaman sayuran hijau yang biasanya digunakan dalam salad atau sebagai lapisan tambahan dalam sandwich. Ada berbagai jenis selada, seperti selada hijau, selada merah, selada es, dan selada romaine.","1. Daunnya berwarna hijau segar.
2. Daunnya terasa renyah dan lembut.
3. Biasanya memiliki bentuk daun yang bergerigi atau berlapis.
4. Memiliki aroma dan rasa yang segar.",-,-
,10,Pest Aphids,Hama yang sering menyerang tanaman hidroponik.,"1. Aphids adalah serangga kecil berukuran sekitar 1-4 mm dengan tubuh berbentuk oval.
2. Mereka dapat memiliki berbagai warna seperti hijau, kuning, merah, coklat, atau hitam.
3. Aphids biasanya berkumpul di bagian ujung pucuk tanaman atau di bawah daun.",Hama,"1. Menggunakan air sabun: Campurkan air dengan sedikit sabun cair dan semprotkan pada daun yang terinfeksi aphids. Sabun akan membunuh aphids dengan cara melumpuhkan sistem pernapasan mereka.
2. Menggunakan air jet: Semprotkan jet air yang kuat pada daun yang terinfeksi untuk secara fisik menghilangkan aphids dari tanaman.
3. Menggunakan predator alami: Membangun populasi serangga predator seperti ladybug atau lacewing dapat membantu mengendalikan aphids secara alami.
4. Menggunakan insektisida alami: Beberapa bahan alami seperti minyak neem, minyak mineral, atau pyrethrin dapat digunakan untuk mengendalikan aphids."
